ID	Protein	Name
WP_053959480.1	Can2	SthCan2
WP_013702306.1	Can2	TsuCard1
WP_012638362.1	Can2	TsuCan2
WP_166919183.1	Can2	
2695025584	Can2	
WP_081666910.1	Can2	
WP_157731582.1	Can2	
1XMX	Can2	1XMX
WP_207687761.1	Can2	
NZ_CP037422.1_737	Can2	
WP_170162378.1	Can2	
WP_169895983.1	Can2	
WP_073344644.1	Can2	
NZ_CP068564.1_1689	Can2	
WP_132027453.1	Can2	
WP_000548602.1	Can2	
WP_187286308.1	Can2	
WP_198515100.1	Can2	
WP_194148707.1	Can2	
WP_194148137.1	Can2	
WP_195826367.1	Can2	
WP_195833054.1	Can2	
WP_031249578.1	Can2	
WP_031246977.1	Can2	
WP_164858703.1	Can2	
WP_157315180.1	Can2	
WP_205701838.1	Can2	
WP_205701767.1	Can2	
NZ_CP036277.1_4785	Can2	
NZ_CP036317.1_4841	Can2	
NZ_CP036266.1_4906	Can2	
NZ_CP036342.1_4686	Can2	
NZ_CM000758.1_3157	Can2	
NC_015931.1_485	Can2	
NZ_CP018387.1_1878	Can2	
NZ_CP059832.1_346	Can2	
NZ_CP040558.1_1659	Can2	
WP_028893834.1	Can2	
NZ_CP047240.1_949	Can2	
NZ_CP046140.1_1092	Can2	
WP_030008167.1	Can2	
NZ_CP012202.1_1486	Can2	
NC_018679.1_1499	Can2	
NC_008577.1_2055	Can2	
NZ_CP043902.1_2245	Can2	
WP_170162379.1	Can2	
WP_082047693.1	Can2	
NZ_CP022244.1_1222	Can2	
NZ_CP034299.1_1057	Can2	
NZ_CP040102.1_1142	Can2	
NZ_CP046856.1_10	Can2	
NC_013892.1_1284	Can2	
WP_163927054.1	Can2	
WP_190676432.1	Can2	
WP_190873544.1	Can2	
NC_013192.1_18	Can2	
WP_141081480.1	Can2	
NZ_CP018477.1_213	Can2	
NC_012658.1_2292	Can2	
NZ_CP006908.1_2226	Can2	
NZ_CP031097.1_167	Can2	
WP_003361943.1	Can2	
NC_017456.1_308	Can2	
NZ_CP033836.1_1332	Can2	
WP_191738468.1	Can2	
NC_020291.1_5453	Can1	
NC_012034.1_150	Can1	
